WorldCup,RK,Team,PTS
1998,99,MalaysiaMAS,29.0
1998,100,VietnamVIE,29.0
1998,101,AlbaniaALB,29.0
1998,102,Bosnia and HerzegovinaBIH,28.0
1998,103,WalesWAL,28.0
1998,104,EstoniaEST,28.0
1998,105,GrenadaGRN,27.0
1998,106,SingaporeSGP,27.0
1998,107,KazakhstanKAZ,26.0
1998,108,BarbadosBRB,26.0
1998,109,CongoCGO,25.0
1998,110,HaitiHAI,25.0
1998,111,ArmeniaARM,25.0
1998,112,BelarusBLR,24.0
1998,113,SudanSDN,24.0
1998,114,VenezuelaVEN,24.0
1998,115,IndiaIND,24.0
1998,116,UgandaUGA,24.0
1998,117,New ZealandNZL,23.0
1998,118,MyanmarMYA,23.0
1998,119,TajikistanTJK,22.0
1998,120,GambiaGAM,22.0
1998,121,Faroe IslandsFRO,22.0
1998,122,St. Kitts and NevisSKN,21.0
1998,123,AzerbaijanAZE,21.0
1998,124,MaltaMLT,20.0
1998,125,JordanJOR,20.0
1998,126,St. Vincent and the GrenadinesVIN,20.0
1998,127,PanamaPAN,20.0
1998,128,MauritaniaMTN,19.0
1998,129,Sri LankaSRI,19.0
1998,130,DominicaDMA,18.0
1998,131,EthiopiaETH,17.0
1998,132,BeninBEN,17.0
1998,133,St. LuciaLCA,17.0
1998,134,BahrainBHR,17.0
1998,135,YemenYEM,16.0
1998,136,LesothoLES,16.0
1998,137,Solomon IslandsSOL,16.0
1998,138,MoldovaMDA,16.0
1998,139,Hong KongHKG,16.0
1998,140,TurkmenistanTKM,16.0
1998,141,Kyrgyz RepublicKGZ,15.0
1998,142,Dominican RepublicDOM,15.0
1998,143,LuxembourgLUX,14.0
1998,144,Antigua and BarbudaATG,14.0
1998,145,LaosLAO,14.0
1998,146,SurinameSUR,13.0
1998,147,EswatiniSWZ,13.0
1998,148,LibyaLBY,12.0
1998,149,BangladeshBAN,12.0
1998,151,FijiFIJ,11.0
1998,152,Guinea-BissauGNB,11.0
1998,153,GuyanaGUY,11.0
1998,154,BotswanaBOT,10.0
1998,155,NigerNIG,10.0
1998,156,PakistanPAK,9.0
1998,157,MauritiusMRI,9.0
1998,158,BurundiBDI,8.0
1998,159,CambodiaCAM,8.0
1998,160,MaldivesMDV,8.0
1998,161,MacauMAC,7.0
1998,162,Chinese TaipeiTPE,7.0
